,image,black,blue,brown,green,red,white,dress,shirt,pants,shorts,shoes
11,./clothes_dataset\blue_shorts\83f085e68e3aad285f771e2eaa16a6f587709642.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,./clothes_dataset\black_dress\f6025c89e2bac62777a66584a339ebf1e8b61bf9.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,./clothes_dataset\brown_pants\0c81321cd3ba6d3d8ec57f07b53dce5ad52c13de.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,./clothes_dataset\blue_pants\9912054ef8b129e608ca45328872118da2f72aff.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,./clothes_dataset\white_shoes\63a97914137c39d765f9d3cf513d58bbfe0a3664.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
16,./clothes_dataset\green_shoes\2b8da145b8fbfd40d29b4c8bc30f30e4b14617ed.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,./clothes_dataset\red_pants\df1f1273ab057d9a3583d3f1a3c6cd6e177aba25.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
18,./clothes_dataset\white_dress\681c6aaf3bb95a0d68baa26bdc7e809f8bc62fa5.jpg,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
19,./clothes_dataset\brown_pants\fa2c0048bb0e92816d02b6f040c357cfdd8c4f06.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,./clothes_dataset\brown_shoes\659dae8a8fdfb79b2d3e32eac74f658b939883b5.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,./clothes_dataset\brown_shoes\876b023b3bca72f9190f8d3563e34878204e61cd.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,./clothes_dataset\black_dress\e747daf429db75168c47ecd45fdd9b00b86b0b1b.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,./clothes_dataset\white_shorts\fb625925bc55cd5c0a147d8214b63d806ac7ecb1.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
24,./clothes_dataset\white_shorts\ab2956d9cc1cf0337aa641a2e588348b44245528.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
25,./clothes_dataset\white_shoes\1816d313a47b46e558a98189a5b0af6bd960835c.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26,./clothes_dataset\black_dress\06677e9166ce249cbe6f7cbf6ea4fae6386a1c3e.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,./clothes_dataset\black_shirt\4adc81704b30dced380c9bbd03f7fe0774768469.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,./clothes_dataset\green_shoes\e86c00f07068e0b598cc329350fc8400e3c62ce5.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,./clothes_dataset\white_shoes\dbcfea26e4d881f936e76e3f462b532e18a2e60f.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30,./clothes_dataset\red_shoes\4095c71202fe4fea098647ae94de5858412307ae.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31,./clothes_dataset\green_shoes\56788ef3f191db613bc0d5be2d62aa8c8bfcc476.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,./clothes_dataset\black_shoes\c58d8cb4a39a6ee360a4c70812ee3d142ba98844.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,./clothes_dataset\red_pants\f039d2b7f2eb7309ebc2098baa79d1dabdc36f7e.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
34,./clothes_dataset\blue_dress\d013d7f2b3e08a5941d4c83da8fae0e402578bfc.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,./clothes_dataset\white_pants\f4144a1a6ebe17118373664cf3886014b7ee08d8.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
36,./clothes_dataset\white_shoes\7661d15ad1358be4a647e207bfe2b8c609e72b3c.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
37,./clothes_dataset\green_shoes\21b502b03ce298ea67b8e5ff2cae61fca0500ddb.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,./clothes_dataset\green_pants\9e364ac1ecf16bd7c263fb0c006131aed1e1fc50.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,./clothes_dataset\white_pants\56e30926bb460dda90ab0401833e4e3d3b2594ae.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
40,./clothes_dataset\brown_pants\3bbf70045df8b9e58da9cd0cf10647275771bae1.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,./clothes_dataset\red_shoes\3571466b768118e2109c99df699ab44b895a9052.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
42,./clothes_dataset\black_shoes\8de7c1ca5f495879c90f2fd2b0b2e85bd02403a2.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,./clothes_dataset\blue_pants\2f7ec9faa098538250de44f3152937571a227daf.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,./clothes_dataset\blue_shorts\03f42bb22e208e3c6b2049c76ccd560fadcba7e0.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,./clothes_dataset\black_shoes\669e1396bac6fe8d4b31c7247d11385b13122e6a.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,./clothes_dataset\red_dress\f95a8b3313b64784da582f574b91ac877fee9f0d.jpg,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
47,./clothes_dataset\brown_shoes\77731148cef143edb07c1f46b2358a47eee96bd8.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,./clothes_dataset\red_dress\72dfe79d3947de770067b455852b4436a741cc78.jpg,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
49,./clothes_dataset\white_dress\d01c59c6b4f2f20b8f7b82a55dff6dd4bc9fbe44.jpg,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
50,./clothes_dataset\green_shorts\88f0b0bb02ded7a441600a834ca4ff3fbba479e7.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,./clothes_dataset\blue_dress\472e9bd8b4a40ea6e0759b3b4da3887f361fb38b.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,./clothes_dataset\red_shoes\7f0e40a5fc8afd993b961a7bad96c0ea280c0790.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
53,./clothes_dataset\white_dress\480931a349542e3e60588edb2d9b2cc3decb8b59.jpg,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
54,./clothes_dataset\blue_dress\f22aaf619b830c164783bdfde81452cb56c91372.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55,./clothes_dataset\red_dress\003aec452c6332f11c68c18971fe0ebbb322812f.jpg,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
56,./clothes_dataset\red_dress\3825aa342231249be9cb82d2145c5651bc23a901.jpg,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
57,./clothes_dataset\blue_pants\aad22aeabebb4a69d0d8c2f0b42fe79e6c660886.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
58,./clothes_dataset\black_shoes\f891a87b6f77d08b5c89d9047172751da8c3dd4c.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,./clothes_dataset\brown_pants\0b802c875cb350695483036b8fccc9d1115590fe.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60,./clothes_dataset\white_shoes\fc1bff9633494f0c76d46605ea81178307f6c108.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
61,./clothes_dataset\blue_dress\11b2c1804145685489775a7863f4a88b692bd694.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,./clothes_dataset\blue_dress\cd51c014c94c9db926487c6e09e3a3effd8c59a7.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
63,./clothes_dataset\blue_shoes\3e2ab9d17a4c0e2a273b4a5af8db5e7710859be7.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
64,./clothes_dataset\blue_shoes\a84c4d4298779ea64d704dce735505a7105c8d0f.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,./clothes_dataset\black_pants\6501c88461fa536c9c13401d92d66c4ee09f50f3.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66,./clothes_dataset\black_shoes\22c15f63ea52eb8347c3a851156ab9f9f0f54450.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,./clothes_dataset\blue_shirt\a09bb1345db5dda699939f292e255177d39658df.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
68,./clothes_dataset\blue_pants\8bfb1b8493c451470ac1090c92d989f3b68a9523.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69,./clothes_dataset\white_pants\d6a90e8a38856272b4d9fdaf888ac35c98ccee7d.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
70,./clothes_dataset\white_pants\8650dfe2b32eea2ab8d30dd4057cb22e0d7a0396.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
71,./clothes_dataset\blue_shoes\7f93b0119947fddd0e65485d4f773f62de6032e0.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72,./clothes_dataset\white_dress\c9483ef51df2a9ccaabe4447e8e94297ca4f5b1c.jpg,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
73,./clothes_dataset\white_shoes\a2ba4348b0271fd480c0e41ce1c9341393c272ca.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
74,./clothes_dataset\blue_dress\9ea8a0287973e1baa2de90fd144b4789d3ce20b5.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
75,./clothes_dataset\blue_shirt\24e02bd5974153501b5fb70f305d416f24789f47.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
76,./clothes_dataset\black_pants\afc2459ea767458a9b1b1680fbf41e39706f1aa3.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
77,./clothes_dataset\black_dress\bdfc36686750b1f7adb4db0bb9511433452d7e56.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78,./clothes_dataset\brown_shoes\b0917ad11e93f5294f0f77a2a75f0bc118738d72.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79,./clothes_dataset\blue_dress\34358497d259d3facf03d924c1b3c19cc3b57873.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
80,./clothes_dataset\black_shoes\13fe9eb262be71f62a004536dfdaf81ac1c39eb8.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
81,./clothes_dataset\blue_shorts\871413ef19ce6dccf63aca605c298b4c44bc216b.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
82,./clothes_dataset\red_dress\ff438775b5d6d955c9c7fd75aff8ac83229b9d79.jpg,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
83,./clothes_dataset\blue_shirt\cd4a2e6e022884e230fd886bd4a08911e551059f.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
84,./clothes_dataset\brown_shoes\7c79d2d1d3eabe4796daaf5ebfffb067d7f704aa.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,./clothes_dataset\black_shoes\0befe925805f9fa9bae8e1e0a73b8acab63f2094.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,./clothes_dataset\black_dress\f5b3d5e5def05d3a299bd83887031a02f0378de1.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
87,./clothes_dataset\black_shirt\3c1f37bc0f70cf46b4583e13a019ffdb4b708e91.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
88,./clothes_dataset\red_dress\f5938c19f8a196a4952789c2b37fc7a645d81ab7.jpg,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
89,./clothes_dataset\black_shirt\e36deddf675dd6df1092969161007c78fc0b84e4.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
90,./clothes_dataset\blue_dress\39b535a8e58d6880bd0a31b39442042450f3e0ac.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91,./clothes_dataset\blue_shoes\924f021a938bc59616eb79fcbca3373ed6b9fb1f.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92,./clothes_dataset\blue_pants\a1e3f9dd946503c1e738f3b586d5b7243f7ffbe0.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
93,./clothes_dataset\black_pants\f0268526329a3c4e75926f0b9a81c9e4d0008581.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
94,./clothes_dataset\blue_shirt\4a2bf610c21a6a9ad55a2040358d24fbbcbb47e8.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
95,./clothes_dataset\blue_pants\1930147f29aaf1f08bf2440f08ebfdd9f6f2a277.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
96,./clothes_dataset\green_pants\daf88d238c948fd22ccb94ac6df90954feccfd77.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
97,./clothes_dataset\brown_shoes\a280387c328ec6e4888deb3ec83b83c32076723d.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98,./clothes_dataset\black_shoes\86de7a9b89e6d127566b7c8e4e1c1268ca3e5c6e.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,./clothes_dataset\black_shoes\e7d72d396602112962af483b6f113abb13dd93f1.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100,./clothes_dataset\black_shoes\91b539b9202a1d2c8cc3dc8bff046a6dc3c303f8.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,./clothes_dataset\black_dress\a6c9d5edbe29d757a1207808f4c780be37463b99.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102,./clothes_dataset\red_dress\f65e2234311cf699dbac7a1525226149f5284491.jpg,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
103,./clothes_dataset\black_shoes\6832e7809ce33dd00d355abcd61da41c8f5bfeea.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
104,./clothes_dataset\black_shirt\9623170ec4f55637d8b33fa8cf53a2f40f903317.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
105,./clothes_dataset\blue_dress\20bd708c385c33bbe96af7f190d05669e0b523e5.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
106,./clothes_dataset\white_dress\b0b55979f8f80a564ecad21934f8b341ce27454d.jpg,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
107,./clothes_dataset\green_shoes\ce4aca01833953c1e2da6e46d6a4e8b192b74196.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
108,./clothes_dataset\blue_shirt\dea362c0731ff64051781de52533ccada8509e4b.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
109,./clothes_dataset\blue_shorts\291ea80d5eba0c04a8639228c406fc9abc6afe27.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,./clothes_dataset\black_shoes\ab077dad7c6a3fba730ec9cd566d9de14262fbb3.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,./clothes_dataset\black_pants\36beaac8677cf0ef847bf1e4d363e677bc2c81fe.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
112,./clothes_dataset\red_shoes\4390e32ae77387ba230d7301daeb876613335790.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
113,./clothes_dataset\brown_pants\61fb7ea0ba34657238ca7414ada452bc02eae7fa.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
114,./clothes_dataset\green_shoes\0c71b9515863faf896c2cebacaaa18553f11f7a0.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
115,./clothes_dataset\black_shirt\efa005596fd452e42c751817c50f991e506540c1.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
116,./clothes_dataset\green_shoes\d5380237df122f354a275c8cdd9035f4d200ccaf.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
117,./clothes_dataset\black_pants\fa121bdc39dd2f2f977b41dfae8b19e419ab07e6.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
118,./clothes_dataset\brown_shoes\3550f40e92ae504615c57053b64221dafcfe178e.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
119,./clothes_dataset\blue_dress\f2dfc08050c34079c1f7a1bb0accfe749bca338e.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
120,./clothes_dataset\blue_shoes\10abfed4ff413045472421f4f9ca8753b2d6f07f.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
121,./clothes_dataset\red_dress\2d8b54bf729f8bc55a4cfa15969a320d4e4d62f3.jpg,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
122,./clothes_dataset\red_shoes\07c28a61859dc65de9e668306b0d40a0a3cea8ff.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
123,./clothes_dataset\blue_dress\35d204790d6762289842fd6387cf54f7ffa54e95.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
124,./clothes_dataset\blue_shoes\b750161fef2f473f2708f384969aff22570c94fd.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
125,./clothes_dataset\white_pants\a77a750961a50aa267274ca82a7bc1865fe0258e.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
126,./clothes_dataset\black_shoes\af6c2847f77666fc746ce09f56ea4f72eff376f2.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
127,./clothes_dataset\black_pants\7c814af29724f394c2261520f22b1a1f33804e89.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
128,./clothes_dataset\red_dress\94e75ec8bc061fb80b06be0e437fb14fe89f08bb.jpg,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
129,./clothes_dataset\black_dress\fc930e857306ac6bfb3dff74e8bbbc7033daaa7e.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
130,./clothes_dataset\black_pants\c64653e297868cb90666812ded7e002b26d4208a.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
131,./clothes_dataset\red_shoes\0fb88a53b1228f69e63cc0047cb66f8110eebdd6.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
132,./clothes_dataset\black_pants\85f78e95053f007d7e3526738ad64c412b1e36e9.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
133,./clothes_dataset\blue_dress\61d39c0895b26681175a688183153b299c5573b0.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
134,./clothes_dataset\black_pants\1d6c39f2de55ec4c5b9d3206860f0db0cea467a2.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
135,./clothes_dataset\blue_pants\a8c30b194611ae77144866afbba1cd896d8918dd.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
136,./clothes_dataset\blue_shirt\5f67fd4b40cd9163a9178d266b938045066dcae5.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
137,./clothes_dataset\white_dress\104ea6d3a5cf2eab5ba130df32d54941520a6143.jpg,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
138,./clothes_dataset\blue_dress\d7c6e1c9ed4070a48a4e768f89b149787bc1f5fd.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
139,./clothes_dataset\blue_dress\cac9272841e57693700a9236f2fa90140ad88299.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
140,./clothes_dataset\brown_shoes\1d3e071db030828c2ae18c8800c40715b7e1a82e.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141,./clothes_dataset\red_pants\8b5fedd99939514bd2d409cea7db51d2974e75b9.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
142,./clothes_dataset\red_pants\629ecce1601a32cf224939b8a167e958eea7a83c.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
143,./clothes_dataset\white_dress\e912d3c7c5eafc4ceb737611c8c51f8f43efb3cd.jpg,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
144,./clothes_dataset\white_shoes\8ce41f3cf92f6cb664370f771ea6265b301748ba.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
145,./clothes_dataset\black_shoes\a052b987af8b2021f6762098ed288adf3622a1b3.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
146,./clothes_dataset\blue_shoes\9c5ee91e3932c2f7072c0a66d517a86fc2fb1dc1.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147,./clothes_dataset\white_shoes\32c8ef537815b138707d1dfadb57c24af704ff73.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
148,./clothes_dataset\blue_shirt\3096a9dff274b354553a16d998e2c3d19084ad44.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
149,./clothes_dataset\white_shoes\5e987553a913bf2e0c78d4bfd70643204bf8434e.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
150,./clothes_dataset\blue_dress\a889a2251cd9ae27adef2f154ba0eaad0bc357f1.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
