image,black,blue,brown,green,red,white,dress,shirt,pants,shorts,shoes,color
./clothes_dataset\black_pants\8d7b96d629befa649a0cfaa988fe9eaca122de50.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\black_shirt\78fcee4b88f717bd3947472d370bb2f2b830d48b.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\blue_shoes\a3fbfb9adbc426fe2868310f65ceb7746063d8aa.jpg,0,1,0,0,0,0,0,0,0,0,1,1
./clothes_dataset\black_pants\e0d3ced8b6aa86e2a5f194a2d0d4ccab921fe8cd.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\black_dress\f632bf23b96710c28d30f4e3826f87d27f8b791e.jpg,1,0,0,0,0,0,1,0,0,0,0,0
./clothes_dataset\white_pants\2fafa1cb6de59c3a0b29b2499d74075b39988330.jpg,0,0,0,0,0,1,0,0,1,0,0,5
./clothes_dataset\white_shoes\a05912ade4a3ade696a6e2e226f2fe046dee087c.jpg,0,0,0,0,0,1,0,0,0,0,1,5
./clothes_dataset\green_shorts\eb6dca2dffbfcfd3e98f82814744b21f75b3c712.jpg,0,0,0,1,0,0,0,0,0,1,0,3
./clothes_dataset\green_shirt\002345bfdd288450d742aa31b72d1a8f13bd07de.jpg,0,0,0,1,0,0,0,1,0,0,0,3
./clothes_dataset\red_shoes\8a90276875d4759b2e65c2ced16e9851d327ef40.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\black_shoes\a716950d7f47684aade0f2ee933c4f988c784627.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\blue_pants\9a1c6563c471bc68da4c1951f364e169d6927dcd.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\brown_pants\9f46ddd38b14763c122769a66d84eff1b9330a66.jpg,0,0,1,0,0,0,0,0,1,0,0,2
./clothes_dataset\white_pants\36cebdf1f001b72417f6d0de077cef82ff44777f.jpg,0,0,0,0,0,1,0,0,1,0,0,5
./clothes_dataset\blue_shirt\299f653846a5b09885d601434804975307dcbac6.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\black_shirt\f10415a3eb2654f9a37f151a0757c268dfa5617b.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\black_pants\4662c3a9fe54efe4f20c5176a50a02447183e778.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\black_shirt\eba699e31a3cd717bdbc32b5565a46d65a11297d.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\white_dress\b83596a3e2e5fbd76bdb18de53689afc1287664e.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\white_pants\7f45f00a13a3bdc5574cc34762beb123c719ac2e.jpg,0,0,0,0,0,1,0,0,1,0,0,5
./clothes_dataset\black_shoes\ea86ce11c647e52ae288c42021493d0270229ba6.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\red_dress\53b07d20a8bb44899ce4e7ed9267abbfe45e34dc.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\green_shoes\5bf0d1d97b758cd24e82fb1accafb553d90582af.jpg,0,0,0,1,0,0,0,0,0,0,1,3
./clothes_dataset\black_shoes\e9d0170f653264b0753c65c08c9980925219b3f7.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\red_dress\23e64af0d8a97323851c358e6ef7b0ddd92bb6c9.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_pants\52d9fbc62a8f9527facd4ebe5db7b93c525d389a.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\blue_shirt\190497279dfc38fe3cd7fee31225970c103650c0.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\white_dress\3d0b7a4da169b205891d980abd47cf5d144c1703.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\blue_shirt\3b7c18cf6e2ac916ece7f4502afd261001639b70.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\blue_shoes\1e81b3e9775349db66bf1fd4390bb82578a2427c.jpg,0,1,0,0,0,0,0,0,0,0,1,1
./clothes_dataset\brown_pants\12a1d964863556c7d76523d0c6da161e657447e2.jpg,0,0,1,0,0,0,0,0,1,0,0,2
./clothes_dataset\blue_pants\fc8aac232a0657b96a7a42b69a18479a6e13303b.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\brown_pants\82f773f01037c380f68eb5cf8ed41d32e9a0c8b6.jpg,0,0,1,0,0,0,0,0,1,0,0,2
./clothes_dataset\red_dress\a96c6e13c0bebaabd873dc6d93a83840bb1f72ef.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\green_pants\4289cfbc4899973318cef572c7e5568f98de53f2.jpg,0,0,0,1,0,0,0,0,1,0,0,3
./clothes_dataset\black_shorts\2cdc94081758036a77807fe302ce680bbbe3f830.jpg,1,0,0,0,0,0,0,0,0,1,0,0
./clothes_dataset\blue_pants\b55f81f1cbf6aa5f70d529d7b7062efc34a6651f.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\blue_pants\caa0a5454613eeafc12fd9fbd2b4c301a5f52d30.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\white_dress\66a6daebfc85e7a04ca16f539ce9a964f313c599.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\blue_pants\0ae8658c6122be96a07b68dea18eb508f07b689a.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\white_dress\4edfc341dee7c0acb5407c5854fcdcd28dcd427e.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\red_pants\cf1c2005b24a771d718e70e758fd52c7afb95f72.jpg,0,0,0,0,1,0,0,0,1,0,0,4
./clothes_dataset\blue_pants\e8ddb53f1b9324f979a7039d5d2d7c57389dd34c.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\blue_pants\cd5758c9e43b75f591411dcae853fe31ad6459bb.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\red_dress\38b55e3638ca73424a422a069da352ec6bdead81.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_shorts\44f36521a04d739d70ef15101e89d853ea4a1d6b.jpg,1,0,0,0,0,0,0,0,0,1,0,0
./clothes_dataset\red_shoes\9015e586d629a4e575c067ed2a9af604e27d948c.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\red_dress\b6a41449452260ebde82ba9e977a53e3f48e0fb7.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\blue_shirt\75751c37b8ed683d257af1c5cc1ad96c5fa4908c.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\white_shorts\44f876472e6509c52bd423cac5af7bf3a7e334aa.jpg,0,0,0,0,0,1,0,0,0,1,0,5
./clothes_dataset\black_shirt\715ae04607c0f2a070739b03e8b79f8fd59769fd.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\brown_shoes\afde862a31dd64dc2841a844fdf1ed74503f449b.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\green_shoes\fe65a5165449bfee536bc0d0ed49be5f7f4a96d8.jpg,0,0,0,1,0,0,0,0,0,0,1,3
./clothes_dataset\brown_pants\ce284102b9aedc0b387953313bf64820754543dd.jpg,0,0,1,0,0,0,0,0,1,0,0,2
./clothes_dataset\blue_dress\078df8777ad95a776ce10ca248a73ddfaa1122dc.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\red_dress\0677913826da51f5efbd27b3d7824d0503051737.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\green_pants\9f735d4675884932a031877a5d2bf6d5013ec857.jpg,0,0,0,1,0,0,0,0,1,0,0,3
./clothes_dataset\black_shoes\c6633274d043117b6bdbbcc0fef7a119daa6cb2d.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\blue_pants\40a2e3486445d73fd243e6899098d1add58ae733.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\black_pants\030d51735871dd49afb731ad6f18676e28c843e9.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\white_dress\c5c5fd09323ce71196e2503b9e7b83a55314cf2d.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\blue_pants\4558ed98ed871e528ffba815de72bc7b3ad8b0b9.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\blue_shoes\e67999f8ddd210c60be9fb08fd58345cffee21c7.jpg,0,1,0,0,0,0,0,0,0,0,1,1
./clothes_dataset\red_dress\19f55440c290e48223094df28150c5ff090cbc7e.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\blue_pants\9040a7e6daa250257a247244808d912ac04f6b54.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\black_pants\040e913bcae8b16f7ba429f1ddd7c4c224d05633.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\red_dress\0ba585c6ceacb858871bb19fadbf7cdd8f482391.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\blue_pants\ddb4d255951a9c968e1e9e92726f9c3c18d27f43.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\red_dress\5d06497714123982314af732c1343b4fcb668895.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_shirt\021cbf8851a4942af53778a1c70ba7749f0eb88b.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\black_dress\916aa9ef8557dbe7c22df84e18a1986763631bc5.jpg,1,0,0,0,0,0,1,0,0,0,0,0
./clothes_dataset\brown_shoes\db785bfa799728b37183cfdf2d2e43a74dd93d8c.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\blue_pants\af4eb1af8a6c55ccb725efea75638aa02f1f06a4.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\white_dress\fa1ffe5cae87d4c369000dfe46fcc83340058a2e.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\red_shoes\f575825a9af532fd080c436d7533e01f470f1782.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\white_shoes\68e074894c5809193656cbea4fe2e747a0861b25.jpg,0,0,0,0,0,1,0,0,0,0,1,5
./clothes_dataset\black_shirt\77dd24b94207f2994c53f59358bbe0ec8c7563f7.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\white_shoes\525f1cdf986d383ff0608ad6632705d48e71356f.jpg,0,0,0,0,0,1,0,0,0,0,1,5
./clothes_dataset\black_pants\be8cd464b2c611f799e4f9bf22b8c9f338b9f9fa.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\black_pants\049f125611494b7d1c712eb2270be96b56a588b2.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\red_dress\40a3c63a722b83ed738628466b0b0d21b25e0f03.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\blue_shorts\676965242a4c4233b9c25bf24f43b6c345aeae77.jpg,0,1,0,0,0,0,0,0,0,1,0,1
./clothes_dataset\black_shirt\d27c2acf6487279c3cd420b29011db5d909bbc99.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\red_dress\86c5bdf7d10945e7bb92ea75f9ca1686b01c09a5.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_shirt\1c7c848803b8d344cc1f12a80879f7d4c92153a8.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\white_shoes\b2b51c6aa232a69dd9192ed729a178d91a83e0ff.jpg,0,0,0,0,0,1,0,0,0,0,1,5
./clothes_dataset\black_pants\4b35cf6556554c366411b3859d99de029417bf0f.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\green_pants\968752be186663eb463064e5f23ef8c692a19227.jpg,0,0,0,1,0,0,0,0,1,0,0,3
./clothes_dataset\blue_dress\73059c4332b901a93a110d52466a6d96367c7188.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\black_shoes\0c204be644fe40b61b0e6b300f9cd191f87b518f.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\blue_shorts\4127c67974ce40b54e2f677177b85512a8751102.jpg,0,1,0,0,0,0,0,0,0,1,0,1
./clothes_dataset\black_shoes\800e55b84f14edd377ad16e1e84639d9d7a272fa.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\black_dress\a9745152d23798300419ae6ba29d244bf84a1bcc.jpg,1,0,0,0,0,0,1,0,0,0,0,0
./clothes_dataset\blue_shorts\74f329fa7c5b10880a78320fb784017beda05218.jpg,0,1,0,0,0,0,0,0,0,1,0,1
./clothes_dataset\blue_pants\08dd2535ebae86c33d2475688b58126196a6426d.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\blue_pants\dd361cb87292d69942d34365af39b465080bfd47.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\green_pants\daf88d238c948fd22ccb94ac6df90954feccfd77.jpg,0,0,0,1,0,0,0,0,1,0,0,3
./clothes_dataset\black_shoes\0672c44079335d3b91ed7564e9f3453a14f68880.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\green_shorts\bd671d41f17389a5e04afbb41ab7ebd7c6ff3742.jpg,0,0,0,1,0,0,0,0,0,1,0,3
./clothes_dataset\blue_shirt\a0b17bc1ff767d08a4d325214bf4deb458b32c4c.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\black_pants\1d7021bb0c4320818f8504ab5c2c5a1184701ef8.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\red_pants\132cdb165756106e5ac7f0ef3d90667f573a491b.jpg,0,0,0,0,1,0,0,0,1,0,0,4
./clothes_dataset\green_shoes\65d9151c266cb8d1f22224b4e99dfac6e09e8f0d.jpg,0,0,0,1,0,0,0,0,0,0,1,3
./clothes_dataset\black_shirt\c7b41f1f619d4119bcdc1aed4595e50ce75b63fb.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\blue_pants\68623a00470a939c83aa46f7ac2d8b4b3fe465c9.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\green_shoes\702cbe1af76fed14cb6712f5bc13b1c7afc5c22d.jpg,0,0,0,1,0,0,0,0,0,0,1,3
./clothes_dataset\black_shoes\a8874a11a3bb768c14b17e310892e71bd582a5a7.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\black_pants\95ebe5eac7a28ffac6e04f511b41572002c4a005.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\brown_shoes\17a4fab1f3dae82548acea92f39bc6da1f4ba0cd.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\brown_pants\a96828b32182b224650669d8c70ba50314943de3.jpg,0,0,1,0,0,0,0,0,1,0,0,2
./clothes_dataset\blue_pants\6376b96ed76787c9edc756fecb9d686540359861.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\white_dress\ddb8124681125001404f3b67ea3379ceea83c0ef.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\green_shoes\417521b1c8875f0e418d1cb1182f8d64e89046cf.jpg,0,0,0,1,0,0,0,0,0,0,1,3
./clothes_dataset\brown_pants\fa2c0048bb0e92816d02b6f040c357cfdd8c4f06.jpg,0,0,1,0,0,0,0,0,1,0,0,2
./clothes_dataset\blue_dress\ae8563e494ddaa3345923b7d3956857688dcc662.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\brown_shoes\b445889b526702349bc4e960f050a2d85cc59967.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\blue_pants\3d2033a61e3ac2f32c6260a0c27605fc8731c7ab.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\red_dress\3dcdc996a692d6dd55cf13983f0e6fbdb2516057.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_shirt\2e726ff9c7dbd077a9848eba1dffb81b3771397c.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\blue_shirt\fb685007ae065d96e111a758ccfe815d4a98cd38.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\black_shirt\8e1e8e1f9de518805128d812ce5b34bcecc42d9c.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\red_dress\2a78ba191fb49ea7c508da3ca8e310b81c9415f2.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\red_dress\0c9c96d9cc7d74d097c755269d5c8b73d22e5a09.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_dress\c57db4505d6649ca398b15c16c61ecb4e69a0eb3.jpg,1,0,0,0,0,0,1,0,0,0,0,0
./clothes_dataset\green_shorts\646f1540b7426a82fcb0629f7c55ae062eaf0742.jpg,0,0,0,1,0,0,0,0,0,1,0,3
./clothes_dataset\green_shoes\684f447939c672b8194da28a3219983ea4c93c08.jpg,0,0,0,1,0,0,0,0,0,0,1,3
./clothes_dataset\red_shoes\b9449a320df24174f619398fb7896e2e439a0245.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\blue_shirt\c1d4ab6f46f5cad02c71a4a8cdd36f8bb476afe4.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\blue_pants\7021fcbe5a27a0f26eb7bf4dcc6bd6bded16c186.jpg,0,1,0,0,0,0,0,0,1,0,0,1
